Tenant,Event,Time(EST),Store Type,User Name
dessusa,Order Import Started, 7 Jun 2017 14:28:08 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 14:38:21 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 14:41:39 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 16:13:37 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 16:22:19 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 16:36:13 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 17:40:24 PM,,dess-usa
dessusa,Order Import Started, 7 Jun 2017 18:27:57 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 14:52:26 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 16:32:14 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 16:33:40 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 16:48:24 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 16:57:27 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 16:58:27 PM,,dess-usa
dessusa,Order Import Started, 8 Jun 2017 18:23:04 PM,,dess-usa
dessusa,Order Import Started, 9 Jun 2017 16:03:09 PM,,dess-usa
dessusa,Order Import Started, 9 Jun 2017 17:05:17 PM,,dess-usa
dessusa,Order Import Started, 9 Jun 2017 17:14:44 PM,,dess-usa
dessusa,Order Import Started, 9 Jun 2017 18:05:18 PM,,dess-usa
tailwindnutrition,Order Import Started, 5 Jun 2017 08:57:36 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 5 Jun 2017 11:06:22 AM,,twship16
tailwindnutrition,Order Import Started, 5 Jun 2017 12:05:15 PM,,twship16
tailwindnutrition,Order Import Started, 5 Jun 2017 12:51:11 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 5 Jun 2017 13:50:02 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 5 Jun 2017 14:37:13 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 5 Jun 2017 15:33:49 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 6 Jun 2017 08:59:37 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 6 Jun 2017 09:11:29 AM,,twship16
tailwindnutrition,Order Import Started, 6 Jun 2017 09:11:52 AM,,twship16
tailwindnutrition,Order Import Started, 6 Jun 2017 11:34:45 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 6 Jun 2017 11:55:41 AM,,twship16
tailwindnutrition,Order Import Started, 6 Jun 2017 11:56:23 AM,,twship16
tailwindnutrition,Order Import Started, 6 Jun 2017 12:46:48 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 7 Jun 2017 09:00:50 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 7 Jun 2017 09:03:14 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 7 Jun 2017 09:27:24 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 7 Jun 2017 11:05:49 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 7 Jun 2017 11:48:51 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 7 Jun 2017 12:01:32 PM,,twship16
tailwindnutrition,Order Import Started, 7 Jun 2017 12:28:43 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 8 Jun 2017 08:59:30 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 8 Jun 2017 09:48:39 AM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 09:48:59 AM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 10:40:13 AM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 11:09:39 AM,,tailwindnu2
